HallTicketNumber,Pyramid Weekly Contest,Pyramid Monthly Contest
23R01A66V7,0.0,0.0
23R01A66W0,,
23R01A6601,0.0,0.0
23R01A04F5,,
23R01A05A1,,
23R01A05T0,,
23R01A04C6,0.0,0.0
23R01A05U6,,
23R01A05AY,0.0,0.0
24R05A0529,0.0,0.0
23R01A0585,,
23R01A67F7,,
23R01A0490,0.0,0.0
23R01A05V5,,
23R01A66D4,,
23R01A66R1,0.0,0.0
23R01A67H3,,
23R01A04C1,,
23R01A05B6,,
23R01A0593,0.0,0.0
23R01A66F0,,
23R01A66E2,,
23R01A0480,,
23R01A66K6,0.0,0.0
23R01A04H3,,
23R01A66X6,0.0,0.0
23R01A05AH,0.0,0.0
23R01A0487,0.0,0.0
23R01A05AC,0.0,0.0
23R01A05DZ,0.0,0.0
23R01A66H0,,
23R01A05B4,,
24R05A6604,,
23R01A04E8,,
23R01A6779,,
23R01A05AX,14.12,0.0
23R01A6676,0.0,0.0
23R01A0435,0.0,0.0
23R01A6759,,
23R01A0478,0.0,22.0
23R01A05F8,,
23R01A05BG,0.0,0.0
23R01A66K7,0.0,0.0
23R01A67G8,,
24R05A0407,0.0,0.0
23R01A0561,,
24R05A0416,,
23R01A05AL,0.0,0.0
23R01A05H3,,
23R01A66V0,0.0,0.0
24R05A6607,0.0,14.0
24R05A6713,,
23R01A05CT,,
23R01A0421,0.0,0.0
23R01A6645,0.0,0.0
23R01A05P7,0.0,0.0
23R01A66H7,,
23R01A67G7,,
23R01A0541,0.0,0.0
23R01A0572,,
23R01A05EP,,
23R01A66C7,0.0,0.0
23R01A04B4,0.0,0.0
23R01A6793,,
23R01A0546,,
23R01A05F4,,
23R01A6671,0.0,0.0
23R01A6706,,
23R01A0562,,
23R01A66C3,0.0,0.0
23R01A66D5,,
23R01A0485,0.0,0.0
23R01A6711,,
24R05A0510,,
23R01A04G8,,
23R01A0566,,
23R01A67H8,,
23R01A66C8,0.0,0.0
23R01A67A3,,
23R01A66U2,0.0,37.0
23R01A66Y3,0.0,0.0
23R01A05M3,0.0,0.0
23R01A67J8,,
23R01A05W5,0.0,0.0
24R05A0408,0.0,0.0
23R01A04A3,0.0,0.0
23R01A67J2,,
23R01A04A9,,
23R01A0542,,
23R01A05B2,,
23R01A66B4,0.0,0.0
23R01A67H6,,
23R01A05Z8,,
23R01A05M4,0.0,0.0
23R01A67E0,,
23R01A67F0,,
23R01A66Z0,0.0,0.0
23R01A6770,,
23R01A05J7,,
23R01A66P1,0.0,0.0
23R01A04H1,,
23R01A05EG,0.0,0.0
24R05A6709,,
23R01A66P6,0.0,0.0
23R01A05B3,,
23R01A66Y5,0.0,0.0
23R01A0556,,
23R01A66H1,0.0,22.0
23R01A04C0,0.0,0.0
23R01A66N2,,
23R01A66M1,0.0,0.0
23R01A05E8,,
23R01A66A1,20.0,0.0
23R01A0410,0.0,0.0
23R01A0563,,
23R01A6692,,
23R01A04B7,0.0,0.0
23R01A66E8,,
23R01A05C9,0.0,0.0
23R01A6786,,
24R05A6616,,
23R01A0494,,
23R01A04D4,,
23R01A66X0,0.0,0.0
23R01A67J0,,
23R01A04J1,0.0,0.0
23R01A6631,0.0,0.0
