HallTicketNumber,Pyramid Weekly Contest,Pyramid Monthly Contest
23R01A6789,,
23R01A05T8,,
23R01A05CC,0.0,0.0
23R01A0449,0.0,0.0
23R01A05DG,,
23R01A66A0,20.0,0.0
24R05A6618,0.0,0.0
23R01A05AD,,
23R01A05U2,,
23R01A67G5,0.0,0.0
23R01A05CB,,
23R01A6735,,
23R01A66D3,,
23R01A04K0,,
23R01A05R7,,
23R01A05G3,0.0,0.0
24R05A0545,,
23R01A05A2,,
23R01A66K8,0.0,0.0
23R01A6609,0.0,56.0
23R01A6663,20.0,0.0
23R01A0502,,
23R01A05BN,0.0,0.0
23R01A05BU,,
23R01A05J1,0.0,0.0
23R01A66F4,19.09,0.0
23R01A04D2,,
23R01A04G2,,
23R01A05V6,,
23R01A67G4,0.0,0.0
23R01A67K2,0.0,0.0
520,0.0,22.0
23R01A05B5,,
23R01A04D5,,
24R05A0533,0.0,0.0
23R01A05D1,,
23R01A67J7,0.0,0.0
23R01A05DF,,
23R01A0503,,
23R01A05K5,0.0,0.0
23R01A0521,0.0,0.0
23R01A05AW,0.0,0.0
23R01A0407,0.0,0.0
23R01A05H7,,
23R01A66G0,,
23R01A0539,,
23R01A67B6,,
23R01A05ET,,
23R01A6705,,
23R01A66E6,,
23R01A66R3,,
23R01A05K8,0.0,0.0
23R01A67F6,,
24R05A0541,,
23R01A6796,,
23R01A66Y9,0.0,28.0
23R01A6790,0.0,0.0
23R01A05N0,,
23R01A6708,,
23R01A6620,0.0,0.0
23R01A05CH,,
23R01A0420,0.0,0.0
23R01A0457,0.0,0.0
23R01A04G6,,
24R05A0414,,
23R01A05DN,,
23R01A05D4,0.0,0.0
23R01A6744,,
24R05A0417,,
23R01A05L6,0.0,0.0
23R01A66A9,12.73,0.0
23R01A66X1,0.0,0.0
23R01A05CN,,
23R01A05AB,,
23R01A0482,,
23R01A6607,0.0,0.0
23R01A05N6,0.0,0.0
23R01A05M1,0.0,0.0
23R01A66N9,0.0,0.0
23R01A05F9,,
23R01A05M9,1.18,0.0
23R01A05F6,0.0,0.0
23R01A66J5,,
23R01A0515,,
24R05A0526,0.0,0.0
23R01A0438,0.0,0.0
23R01A67E6,,
23R01A0434,0.0,0.0
24R05A0543,,
23R01A0526,0.0,0.0
23R01A66C9,,
23R01A05R2,,
23R01A6646,0.0,0.0
23R01A66N3,0.0,0.0
23R01A6733,0.0,0.0
23R01A66A7,0.0,0.0
23R01A67J1,0.0,0.0
23R01A05R9,,
23R01A05J6,0.0,0.0
23R01A05DY,,
24R05A0516,,
23R01A04A6,0.0,0.0
23R01A04G7,,
23R01A05DH,,
24R05A0536,0.0,0.0
23R01A6724,,
23R01A66A3,0.0,0.0
23R01A05Q5,,
23R01A05BF,,
23R01A05A5,0.0,0.0
23R01A05M5,,
23R01A66D0,,
23R01A66K9,,
23R01A05W6,,
23R01A0579,,
23R01A66Q1,0.0,0.0
23R01A05Z4,,
24R05A0403,0.0,0.0
24R05A0419,,
23R01A05Y8,,
23R01A0590,,
23R01A0468,0.0,0.0
23R01A04E4,,
23R01A05U4,,
23R01A66R8,0.0,0.0
23R01A04J6,,
24R05A6626,0.0,0.0
23R01A66M8,0.0,0.0
23R01A04A4,,
23R01A66C1,,
